"Ship with Kiala","Versand mit Kiala"
"Select different Kiala point on the map","Wählen Sie einen anderen Kiala-Punkt auf der Karte aus."
"Kiala allows parcels to be delivered to close by shops with wide opening hours and no waiting lines.","Mit Kiala werden Pakete in nahe gelegenen Geschäften ausgeliefert, die lange Öffnungszeiten und keine Warteschlangen haben."
"You can select an other Kiala point on the map below","Sie können auf der Karte unten einen anderen Kiala-Punkt auswählen ."
"Based on your address details, we suggest following Kiala point","Aufgrund Ihrer Adressangaben schlagen wir den folgenden Kiala-Punkt vor:"
"You selected this Kiala Point","Sie haben diesen Kiala-Punkt ausgewählt:"
"Based on your previous order, we suggest following Kiala point","Aufgrund Ihrer letzten Bestellung schlagen wir den folgenden Kiala-Punkt vor:"
"The Kiala point {kialapoint_name} you selected in a previous order is not available. ({reason}) We suggest following Kiala point as alternative","Dier Kiala-Punkt {kialapoint_name}, den Sie in einer früheren Bestellung ausgewählt haben, ist nicht verfügbar. ({reason}) Als Alternative schlagen wir den folgenden Kiala-Punkt vor:"
"More info...","Weitere Informationen..."
"Show map inline","Karte online anzeigen"
"Show the Locate & Select map inline (yes) or with a link (no) in the checkout.","Suchen und Auswählen-Karte online (ja) oder mit einem Link (nein) beim Checkout anzeigen."
"Map width","Breite der Karte"
"Change the width of the map(pixels).","Breite der Karte ändern (Pixel)."
"Map Height","Höhe der Karte"
"Change the height of the map(pixels).","Höhe der Karte ändern (Pixel)."
"Kiala Pack & Ship Desktop installed?","Kiala Pack & Ship Desktop installiert?"
"Enables to export the orders for uploading in Kiala Pack & Ship Desktop.","Ermöglicht, die Bestellungen zum Upload in Kiala Pack & Ship Desktop zu exportieren."
"Kiala Sender ID","Kiala-Absenderkennung"
"Can be found or created on our website.","Kann auf unserer Website gefunden oder erstellt werden."
"Kiala password","Kiala-Kennwort"
"Sender country","Land des Absenders"
"Specify country from where parcels are shipped.","Geben Sie das Versandland der Pakete an."
"Preparation delay","Vorbereitungsverzögerung"
"Specify how long it will take to prepare your shipment.","Geben Sie an, wie lange die Vorbereitung Ihrer Lieferung dauert."
"CSS","CSS"
"Specify the url to a custom css file. This url must be public.","Geben Sie die URL zu einer benutzerdefinierten CSS-Datei an. Die URL muss öffentlich sein."
"Use Table Rates","Tabellenspitze verwenden"
"Calculate shipment costs based on configuration of Table Rates.","Berechnen Sie die Versandkosten auf der Grundlage einer Konfiguration von Tabellenspitzen."
"Flat Fee shipping cost","Versandkostenpauschale"
"Specify fixed amount as shipment cost e.g.: 4.95. This will only work if Use Table Rates is turned off.","Geben Sie einen Festbetrag als Versandkosten ein, z. B.: 4,95. Dies funktioniert nur, wenn Tabellenspitze verwenden deaktiviert ist."
"DSPID Configuration","DSPID-Konfiguration"
"This matrix is used to configure dspid for destination. This field should not be changed unless instructed by Kiala.","Anhand dieser Matrix wird die DSPID für das Ziel konfiguriert. Das Feld sollte nur auf Aufforderung von Kiala geändert werden."
"Locate & Select URL","URL suchen und auswählen"
"This field should not be changed unless instructed by Kiala.","Das Feld sollte nur auf Aufforderung von Kiala geändert werden."
"Api URL","API-URL "
"Track & Trace URL","Ablaufverfolgungs-URL"
"Proxy host","Proxyhost"
"Use when Magento store needs to pass through proxy to reach the internet. DO NOT ADD 'http://' !","Verwenden Sie diese Option, wenn der Magento-Shop das Proxy passieren muss, um das Internet zu erreichen. FÜGEN SIE NICHT 'http://' HINZU!"
"Proxy port","Proxyport"
"Use when Magento store needs to pass through proxy to reach the internet.","Verwenden Sie diese Option, wenn der Magento-Shop das Proxy passieren muss, um das Internet zu erreichen."
"Carrier name","Name des Frachtführers"
"Name showed on a number of magento pages.","Name, der auf mehreren Magento-Seiten angezeigt wird."
"Select your language for the delivery notification:","Bitte wählen Sie Ihre Sprache für die Lieferavis:"
"Next","Weiter"
"The order in which the shipping services appear on the checkout.","Die Reihenfolge, in der die Transportdienste auf der Kasse erscheinen."
"Please choose your Kiala Point.", "Bitte wählen Sie Ihren Kiala Punkt."