"Ship with Kiala","Realiza envíos con Kiala"
"Select different Kiala point on the map","Selecciona diferente puntos Kiala en el mapa."
"Kiala allows parcels to be delivered to close by shops with wide opening hours and no waiting lines.","Kiala permite entregar paquetes a través de tiendas cercanas al cliente con largos horarios de recogida y sin colas ni largas esperas."
"You can select an other Kiala point on the map below","Puedes escoger otro punto Kiala en el mapa de abajo:"
"Based on your address details, we suggest following Kiala point","Basándonos en los detalles de su dirección le sugerimos el siguiente punto Kiala:"
"You selected this Kiala Point","Usted ha seleccionado este punto Kiala:"
"Based on your previous order, we suggest following Kiala point","Basándonos en su último pedido, le sugerimos el siguiente punto Kiala:"
"The Kiala point {kialapoint_name} you selected in a previous order is not available. ({reason}) We suggest following Kiala point as alternative","El punto Kiala {kialapoint ({reason}) _name} que usted ha seleccionado en su anterior pedido no está disponible. ({reason}). Le sugerimos el siguiente punto Kiala como alternativa."
"More info...","Más información..."
"Show map inline","Muestra el mapa online"
"Show the Locate & Select map inline (yes) or with a link (no) in the checkout.","Muestra el mapa Locate & Select en línea (si) o con un enlace (no) en la caja."
"Map width","Ancho de mapa"
"Change the width of the map(pixels).","Cambia el ancho del mapa (pixels)."
"Map Height","Altura de mapa"
"Change the height of the map(pixels).","Cambia la altura del mapa (pixels)."
"Kiala Pack & Ship Desktop installed?","¿Escritorio Kiala de Pack & ship instalado?"
"Enables to export the orders for uploading in Kiala Pack & Ship Desktop.","Permite exportar los paquetes para actualizarlos en el escritorio Kiala Pack & Ship."
"Kiala Sender ID","Identificador Kiala del remitente"
"Can be found or created on our website.","Puede ser encontrado o creado en nuestro sitio web."
"Kiala password","Contraseña Kiala"
"Sender country","País remitente"
"Specify country from where parcels are shipped.","Especifique el país desde donde los paquetes van a ser enviados."
"Preparation delay","Tiempo de preparación"
"Specify how long it will take to prepare your shipment.","Especifique cuanto tiempo necesitará para preparar su envío."
"CSS","CSS"
"Specify the url to a custom css file. This url must be public.","Especifique la url al fichero css del cliente. Esta url debe ser pública."
"Use Table Rates","Use la tabla de ratios"
"Calculate shipment costs based on configuration of Table Rates.","Calcule el coste del envío basándose en la configuración de la tabla de ratios."
"Flat Fee shipping cost","Tarifa plana para el coste de envío"
"Specify fixed amount as shipment cost e.g.: 4.95. This will only work if Use Table Rates is turned off.","Especifique la cantidad fija como coste de envío. Por ejemplo: 4.95. Únicamente funcionará si el uso de la tabla de ratios está desactivado."
"DSPID Configuration","Configuración del DSPID"
"This matrix is used to configure dspid for destination. This field should not be changed unless instructed by Kiala.","Esta matriz se utiliza para configurar el dspid en destino. Este campo no debe ser modificado salvo por instrucciones específicas de Kiala."
"Locate & Select URL","URL de Locate & Select"
"This field should not be changed unless instructed by Kiala.","Este campo no debe ser modificado salvo por instrucciones específicas de Kiala."
"Api URL","Api URL"
"Track & Trace URL","URL de Track & Trace"
"Proxy host","Puerto Proxy"
"Use when Magento store needs to pass through proxy to reach the internet. DO NOT ADD 'http://' !","Se utiliza cuando la tienda de Magento tiene que pasar a través de proxy para acceder a Internet. No añadir 'http://'!"
"Proxy port","Puerto Proxy"
"Use when Magento store needs to pass through proxy to reach the internet.","Se utiliza cuando la tienda de Magento tiene que pasar a través de proxy para acceder a Internet."
"Carrier name","Nombre del transportista"
"Name showed on a number of magento pages.","Nombre mostrado en un número de páginas de Magento."
"Select your language for the delivery notification:","Por favor seleccione su idioma para la notificación de entrega:"
"Next","Continuar"
"The order in which the shipping services appear on the checkout.","El pedido cuyas opciones de envío aparecen en proceso de compra."
"Please choose your Kiala Point.", "Elija por favor su punto Kiala."